Question,Response
ละครโทรทัศน์ไทยเรื่องมายาสีมุก ใครเป็นบทประพันธ์,ทวิตา
ตัวละครที่ชื่อ คีรินทร์ ในละครเรื่องมายาสีมุก ที่ออกอากาศทางสถานีโทรทัศน์สีกองทัพบกช่อง 7 นำแสดงโดยใคร,วีรภาพ สุภาพไพบูลย์
ม้านิลมังกร เป็นสัตว์ประหลาดในวรรณคดีไทย ที่แต่งโดยสุนทรภู่ มีชื่อเรื่องอะไร,พระอภัยมณี
ผู้แต่งวรรณคดีไทยเรื่องพระอภัยมณี มีชื่อว่าอะไร,สุนทรภู่
พระราชบิดาของหม่อมยิ่ง หรือ พระเจ้าพี่นางเธอ พระองค์เจ้ายิ่งเยาวลักษณ์ อรรคราชสุดา มีพระนามว่าอะไร,พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว
พระมารดาของพระองค์เจ้ายิ่งเยาวลักษณ์ อรรคราชสุดา มีพระนามว่าอะไร,เจ้าจอมมารดาแพ
สะพานชมัยมรุเชฐอยู่บนถนนพิษณุโลก เป็นสะพานข้ามคลองอะไร,คลองเปรมประชากร
สะพานชมัยมรุเชฐ อยู่บนถนนพิษณุโลก ก่อสร้างในรัชกาลใด,รัชกาลที่ 5
พ่อของอาจารย์สมพร ยกตรี คือใคร,นายคำแสน ยกตรี
สนามแข่งรถแห่งแรกที่นายแฮร์มันน์ ทิลเคอ ออกแบบมีชื่อว่าอะไร,สนามเอวันริง
พรพิมล ธรรมสาร เกิดที่จังหวัดใด,ลำปาง
พระมหากษัตริย์ไทยรัชกาลที่ 30 แห่งอาณาจักรอยุธยา มีพระนามว่าอะไร,สมเด็จพระสรรเพชญ์ที่ 9
จำเริญสุข อ่าวอุดมผล เป็นนักกรีฑาของชาติอะไร,ลาว
เจมส์ แอนโทนี่ ไซมอน เป็นโปรดิวเซอร์เพลงฮิบฮอบ ชาวอะไร,ชาวอเมริกัน
นายสาคร เกี่ยวข้อง เป็นสมาชิกสภาผู้แทนราษฎรจังหวัดกระบี่ สังกัดพรรคการเมืองใด,พรรคประชาธิปัตย์
นามสกุลเดิมของนางเพชรารัตน์ เกี่ยวข้อง คืออะไร,จิวากานนท์
สกุลเดิมของหม่อมครูนุ่ม นวรัตน ณ อยุธยา คืออะไร,อภัยกุล
พระราชบิดาของหม่อมนุ่ม นวรัตน ณ อยุธยา มีพระนามว่าอะไร,หม่อมหลวงชื่น อภัยกุล
ประเทศเลโซโท เป็นประเทศขนาดเล็กอยู่ในทวีปอะไร,ทวีปแอฟริกา
เมืองหลวงของประเทศเลโซโทที่ตั้งอยู่ในทวีปแอฟริกามีชื่อว่าอะไร,มาเซรู
วัดร่ำเปิง ตั้งอยู่เลขที่ 1 หมู่ 5 ถนนคันคลองชลประทาน ตำบลสุเทพ อำเภอเมือง จังหวัดอะไร,จังหวัดเชียงใหม่
จิตรกรชาวดัตช์ผู้เขียนภาพสีน้ำมันที่มีชื่อภาพว่า ไอริส ซึ่งจัดแสดงอยู่ที่พิพิธภัณฑ์เจ. พอล เกตตี มีนามว่าอะไร,ฟินเซนต์ ฟัน โคค
ภาพเขียนสีน้ำมัน ไอริส ของจิตรกรชาวดัตซ์ที่ชื่อฟินเซนต์ ฟัน โคค จัดแสดงอยู่ที่ใด,พิพิธภัณฑ์เจ. พอล เกตตี
เขาเอ๋อเหมย์ หรือ ภูเขาง้อไบ๊ ในประเทศจีนมีความสูงเท่าไร,"3,099 เมตร"
วัดที่ตั้งอยู่บนยอดเขาเอ๋อเหมย์ หรือ ภูเขาง้อไบ๊ ประเทศจีนมีชื่อว่าอะไร,วัดหัวจ้วง
โซชีเอตาสปอร์ตีวาลัตซีโย หรือ สโมสรลัตซีโย ก่อตั้งขึ้นในปี ค.ศ. 1900 เป็นสโมสรของประเทศอะไร,ประเทศอิตาลี
เจมส์ ไมเคิล เบย์ นักร้องชาวอังกฤษปล่อยอัลบั้ม EP ทั้งหมดกี่อัลบั้ม,4 อัลบั้ม
ผู้ที่สร้างแรงบันดาลใจในการเล่นกีตาร์คลาสสิคของเจมส์ เบย์ หลังจากได้ฟังเพลง layla คือใคร,อีริค แคลปตัน
พ่อของ เฮเลน โกลก ทำอาชีพอะไร,ช่างตีเหล็ก
ดรูว์ แบร์รีมอร์เป็นนักแสดงหญิงชาวอเมริกัน มีผลงานการแสดงภาพยนตร์เรื่องแรกในปี 1980 ชื่อว่าอะไร,Altered States
ดร.วัลลภ ปิยะมโนธรรม เป็นอาจารย์สอนอยู่ที่มหาวิทยาลัยอะไร,มหาวิทยาลัยศรีนครินทรวิโรฒ
ในสมัยมัธยมศึกษา ดร.วัลลภ ปิยะมโนธรรม ศึกษาที่โรงเรียนอะไร,โรงเรียนสวนกุหลาบวิทยาลัย
อี อารึม เป็นนักร้อง นักแร็ป นักแสดงชาวเกาหลีใต้ เกิดที่เมืองใดของประเทศเกาหลีใต้,กรุง โซล
นักร้องเพลงประกอบภาพยนตร์ไทยเรื่องกอดที่ฉายในปี พ.ศ. 2551 คือใคร,อัญชลี จงคดีกิจ
บุตรชายของสู่ขวัญ บูลกุล มีชื่อว่าอะไร,ด.ช. ปราบ บูลกุล
นายโชค บูลกุล คู่สมรสของสู่ขวัญ บูลกุล เป็นบุตรของใคร,นายโชคชัย บูลกุล
จังหวัดแรกในประเทศไทยที่มีผู้ว่าราชการจังหวัดเป็นผู้หญิงคือจังหวัดอะไร,จังหวัดนครนายก
สตรีคนแรกที่ได้รับการแต่งตั้งเป็นผู้ว่าราชการของประเทศไทยคือใคร,คุณหญิงจรัสศรี ทีปิรัช
ภาพยนตร์เรื่องแรกที่ อัศวิน รัตนประชา เล่นมีชื่อเรื่องว่าอะไร,เรื่อง 7 ดอกจิก
บ้านพิษณุโลก เป็นบ้านพักประจำตำแหน่งนายกรัฐมนตรีไทย เดิมมีชื่อว่าอะไร,บ้านบรรทมสินธุ์
บ้านบรรทมสินธุ์ หรือ บ้านพิษณุโลก ถูกออกแบบโดยสถาปนิกประจำราชสำนักสยามชาวอิตาลีมีชื่อว่าอะไร,มาริโอ ตามานโญ
ภรรยาของนายธนิตพล ไชยนันทน์ คือใคร,นาง วรกันยา ณ ระนอง ไชยนันทน์
นายธนิตพล ไชยนันทน์ สำเร็จการศึกษาระดับปริญญาโทจากมหาวิทยาลัยอะไร,มหาวิทยาลัยรามคำแหง
พระโอรสพระองค์เดียวในเจ้าชายฟุมิฮิโตะ มีพระนามว่าอะไร,เจ้าชายอากิชิโนะ
ขุนอำไพพาณิชย์เป็นคหบดีชาวศรีสะเกษ มีชื่อเดิมว่าอะไร,ทองอินทร์ นาคสีหราช
อาคารขุนอำไพพาณิชย์ ตั้งอยู่ตำบลเมืองใต้ อำเภอเมืองศรีสะเกษในจังหวัดอะไร,จังหวัดศรีสะเกษ
คู่สมรสของนิพัทธ์ ทองเล็ก คือใคร,ทันตแพทย์หญิง รัตนาวดี ทองเล็ก
ในปี 2008 แอนนา เคย์ ฟาริสได้แสดงภาพยนตร์เรื่องอะไร,เรื่อง The House Bunny
ซีเคร็ตออฟมายฮาร์ต เป็นซิงเกิลลำดับที่ 3 ของใคร,ไม คุรากิ
ผลงานชิ้นแรก ในปี ค.ศ. 1480 ของโดเมนีโก กีร์ลันดาโย เป็นภาพอะไร,นักบุญเจอโรมในห้องทำงาน
ร่างของโดเมนีโก กีร์ลันดาโยเป็นจิตรกรสมัยฟื้นฟูศิลปวิทยาคนสำคัญของประเทศอิตาลีในคริสต์ศตวรรษที่ 15 ถูกฝังไว้ที่วัดใด,วัดซานตามาเรียโนเวลลา
ภรรยาของนายไชยา พรหมา คือใคร,นางอัญชลี พรหมา
สุรพงษ์ บุนนาค นักเขียนนวนิยาย บทความ สารคดี เสียชีวิตด้วยโรคอะไร,โรคมะเร็ง
สุรพงษ์ บุนนาค เจ้าของรางวัลนราธิป ประจำปี พ.ศ. 2545 จบการศึกษาจากประเทศอะไร,ประเทศเยอรมนี
เมืองหลวงของประเทศฟีจี มีชื่อว่าอะไร,ซูวา
อรุโณทัย วรรณถาวร นักเขียนนวนิยายโรแมนติกเขย่าขวัญ ใช้นามปากกว่าอะไร,มายาโรส
บ้านเกิดของอรุโณทัย วรรณถาวร หรือใช้นามปากกาว่า มายาโรส อยู่ที่ไหน,เชียงใหม่
โซฟี มังก์ นักร้องชาวออสเตรเลีย เกิดที่ประเทศอะไร,อังกฤษ
อัลบั้มเดี่ยวครั้งแรกของโซฟี มังก์ ในเดือน พฤษภาคม 2003 มีชื่อว่าอะไร,Calendar Girl
ชินโนะซุเกะ ฮนดะ นักฟุตบอลชาวญี่ปุ่น เกิดที่เมืองอะไร,เมืองฟุกุชิมะ
หลวงพ่อเงิน พุทธโชติ อดีตเจ้าอาวาสวัดบางคลาน จังหวัดพิจิตร สิริอายุกี่ปี,111 ปี
บุคคลแรกที่ค้นพบความสัมพันธ์ระหว่างกระแสไฟฟ้าและแม่เหล็ก คือใคร,เออร์สเตด
พระนามเดิมของเจ้าหลวงเหมพินธุไพจิตร มีพระนามว่าอะไร,เจ้าคำหยาด
เทือกเขาที่ยาวที่สุดในทวีปยุโรป คือเทือกเขาอะไร,เทือกเขาสแกนดิเนเวีย
เทือกเขาที่มีความยาวเป็นอันดับ 2 ในยุโรป คือเทือกเขาอะไร,เทือกเขาคาร์เพเทียน
ผู้สร้างวัดน้อย จังหวัดน่าน คือใคร,พระเจ้าสุริยพงษ์ผริตเดช
บ้านเกิดของพระเทพโมลี หรือ สำรอง คุณวุฑฺโฒ อยู่ที่จังหวัดใด,จังหวัดขอนแก่น
พระอุปัชฌาย์ของพระเทพโมลี หรือ สำรอง คุณวุฑฺโฒ มีนามว่าอะไร,พระครูแก้ว
ทาทา มอเตอร์ส เป็นบริษัทผู้ผลิตรถยนต์ของประเทศอะไร,อินเดีย
โรงงานทาทา มอเตอร์สในประเทศไทยอยู่ที่จังหวัดอะไร,จังหวัดสมุทรปราการ
บอลทิมอร์ เป็นเมืองที่ใหญ่ที่สุดในรัฐแมริแลนด์ประเทศอะไร,สหรัฐอเมริกา
มหาวิทยาลัยที่มีชื่อเสียงของเมืองบอลทิมอร์ รัฐแมริแลนด์ ประเทศสหรัฐอเมริกา มีชื่อว่าอะไร,มหาวิทยาลัยจอนส์ฮอปกินส์
ผู้กำกับการแสดงละครเรื่อง นาคี ละครโทรทัศน์ไทยฉายในปี พ.ศ. 2559 คือใคร,พงษ์พัฒน์ วชิรบรรจง
ตั้งแต่ศตวรรษที่ 15 พระราชวังสำคัญที่ตั้งอยู่ในกรีนิชคือพระราชวังอะไร,พระราชวังพลาเซ็นเทีย
สมเด็จพระราชินีนาถเอลิซาเบธที่ 1 แห่งอังกฤษ ทรงประสูติที่เมืองอะไร,กรีนิช
บริษัทออราเคิลคอร์ปอเรชันก่อตั้งขึ้นเมื่อปี พ.ศ. ใด,ปี พ.ศ. 2520
มหาวิทยาลัยศิลปะเบรเมิน อยู่ในประเทศอะไร,ประเทศเยอรมนี
พรรคทาโย เป็นพรรคการเมืองในประเทศอะไร,ประเทศโซมาเลีย
ประธานพรรคการเมืองทาโยของโซมาเลีย มีชื่อว่าอะไร,มัรยัม กาซิม
พระราชบิดาของหม่อมเจ้ายี่เข่ง มีพระนามว่าอะไร,พระเจ้าราชวรวงศ์เธอ พระองค์เจ้าเพชรหึง
พระสวามีของพระวงศ์เธอ พระองค์เจ้ายี่เข่ง มีพระนามว่าอะไร,หม่อมเจ้าชายจักรจั่น ปาลกะวงศ์
พระครูพิศาลธรรมโกศลหรือสุพจน์ กญจนิโก พระวัดประยุรวงศาวาส มีนามปากกาว่าอะไร,แพรเยื่อไม้
พระครูพิศาลธรรมโกศลหรือสุพจน์ กญจนิโก พระวัดประยุรวงศาวาสมรณภาพด้วยโรคอะไร,โรคมะเร็งในหลอดอาหาร
พระมารดาของสมเด็จพระจักรพรรดิรูดอล์ฟที่ 2 แห่งโรมันอันศักดิ์สิทธิ์ มีพระนามว่าอะไร,มาเรียแห่งสเปน
ราชอาณาจักรทอเลมี ตั้งอยู่ในประเทศอะไรในปัจจุบัน,อียิปต์
เมื่ออเล็กซานเดอร์มหาราชได้รับชัยชนะต่ออียิปต์ เมือปี 332 ก่อนคริสต์ศักราช ได้ก่อตั้งอาณาจักรอะไร,ราชอาณาจักรทอเลมี
พระราชบิดาของท้าวคำถี่ มีพระนามว่าอะไร,สุขางฟ้า
ท้าวคำถี่ขึ้นเป็นกษัตริย์เมื่อปี พ.ศ. 1923 มีพระโอรสพระนามว่าอะไร,สุดางฟ้า
พระปฐมกษัตริย์ของราชวงศ์บ้านพลูหลวง มีพระนามว่าอะไร,สมเด็จพระเพทราชา
ศิริชัย โพธิ์สุวรรณ เป็นนักมวยสากลจากจังหวัดอะไร,จังหวัดมหาสารคาม
มาดารของศิริชัย โพธิ์สุวรรณ เสียชีวิตตั้งแต่เขาอายุกี่ปี,อายุ 6 ปี
ภาพเขียน การแต่งงานของเวอร์จินแมรี จิตกรชาวอิตาลีที่เขียนมีชื่อว่าอะไร,ราฟาเอล
ราฟาเอลผู้เขียนภาพ การแต่งงานของเวอร์จินแมรี เป็นจิตรกรในสมัยใด,สมัยเรอเนซองส์
ชื่อเดิมของนาธาน โอร์มาน มีชื่อว่าอะไร,ธัญญวัฒน์ หยุ่นตระกูล
ในสมัยประถมนาธาน โอร์มาน เรียนอยู่ที่ไหน,โรงเรียนดรุณศึกษา
ผู้ก่อตั้งหนังสือพิมพ์เดอะไทมส์ หรือ The Times คือใคร,จอห์น วอลเทอร์
หนังสือพิมพ์ The Daily Universal Register ได้เปลี่ยนชื่อมาเป็น The Times ในฉบับตีพิมพ์ที่เท่าไร,ฉบับที่ 941
สีประจำโรงเรียนตะโหมด จังหวัดพัทลุง คือสีอะไร,สีเทา
ศิลป์ชนก คล้ายแต้ เป็นนักร้องสังกัดวงอะไร,สังกัดกามิกาเซ่
เพลง มายบลัดดีวาเลนไทน์ ของทาทา ยัง เริ่มเผยแพร่ในปี 2552 อยู่ในอัลบั้มชื่อว่าอะไร,เรดีฟอร์เลิฟ
จังหวัดใต้สุดของญี่ปุ่นคือจังหวัดอะไร,จังหวัดโอกินาวะ
นครนาฮะ เป็นเมืองเอกของจังหวัดอะไรในประเทศญี่ปุ่น,จังหวัดโอกินาวะ
สกุลเดิมของหม่อมหลวงตาด วรวรรณ มีสกุลเรียกว่าอะไร,มนตรีกุล
เอลบรัส เทเดเยฟ ได้รับรางวัลเหรียญทองจากการแข่งขันโอลิมปิกฤดูร้อน 2004 ที่ไหน,กรุงเอเธนส์
เอลบรัส เทเดเยฟเป็นนักมวยปล้ำและได้เป็นพลเมืองของประเทศยูเครนในปีใด,ค.ศ. 1993
นักฟุตบอลนามว่า ซูโซ มีชื่อเต็มว่า เฆซุส โฆอากิน เฟร์นันเดซ ซาเอนซ์ เด ลา ตอร์เร เกิดที่เมืองอะไร,เมืองกาดิซ
เฆซุส โฆอากิน เฟร์นันเดซ ซาเอนซ์ เด ลา ตอร์เร สังกัดเอซีมิลานในเซเรียอาประเทศอะไร,อิตาลี
ภาพยนตร์เรื่อง Boyhood ในปี 2014 ที่ได้รับรางวัลลูกโลกทองคำสาขาผู้กำกับภาพยนตร์ยอดเยี่ยม กำกับโดยใคร,ริชาร์ด สจ๊วต ลินเคลเตอร์
ภาพยนตร์แนวตลกที่สร้างโดยริชาร์ด สจ๊วต ลินเคลเตอร์ ในปี 1993 คือเรื่องอะไร,เรื่อง Dazed and Confused (1993)
แกรี่ เลวิน เกิดที่เมืองอะไรในประเทศอังกฤษ,กรุงลอนดอน
แกรี่ เลวิน จบปริญญาตรี ในสาขาอะไร,สาขาชีววิทยา
พระบิดาของไมดาส มีพระนามว่าอะไร,พระเจ้ากลอดิอุส
พระเจ้าไมดาส ทรงปกครองนครที่มีชื่อว่าอะไร,นครไฟร์เกีย
พี่สาวแท้ๆ ของนริศ อารีย์ มีชื่อว่าอะไร,วรนุช อารีย์
สมเด็จพระมหาวีรวงศ์ มีพระนามเดิมว่าอะไร,ยัง
สมเด็จพระมหาวีรวงศ์ หนีการไปเรียนที่จีนโดยไปอยู่กับน้าชายมีชื่อว่าอะไร,สิงห์โต
พระมารดาของหม่อมเจ้าเวียงวัฒนา ชยางกูร มีพระนามว่าอะไร,หม่อมแหวนศุลี ชยางกูร ณ อยุธยา
โอรสของหม่อมเจ้าเวียงวัฒนา ชยางกูร มีพระนามว่าอะไร,หม่อมราชวงศ์พงษ์ไชยา ชยางกูร
พระมารดาของเจ้าพระยาบดินทรเดชานุชิต มีพระนามว่าอะไร,หม่อมนิ่ม ณ นคร
เครื่องบินขับไล่ ดัซโซลท์ มิราจ เอฟ1 ของตระกูลมิราจ ได้ประจำกองทัพฝรั่งเศสในปีใด,ปี ค.ศ. 1973
สถานีเกษตรหลวงอ่างขาง เป็นโครงการอันเนื่องมาจากพระราชดำริในหลวงพระองค์ใด,พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช
สถานีเกษตรหลวงอ่างขางตั้งอยู่ในเขตพื้นที่ตำบลแม่งอน อำเภอฝาง จังหวัดอะไร,จังหวัดเชียงใหม่
ผลงานละครเรื่องแรกของอัทธนียา เอี่ยมวสันต์ หรือชื่อเกิด สริตา เอี่ยมวสันต์ คือเรื่องอะไร,ตะวันทอแสง
อัทธนียา เอี่ยมวสันต์ เล่นละครเรื่อง ตะวันทอแสง ที่ออกอากาศทางช่อง 7 รับบทเป็นใคร,พิมพรรณ
ผู้ออกแบบบ้านตุ๊กตาที่ตั้งอยู่เลขที่ 42 ซอยต้นสน เขตปทุมวัน กรุงเทพมหานคร คือใคร,ศาสตราจารย์หม่อมเจ้าโวฒยากร วรวรรณ
บ้านตุ๊กตาได้รับรางวัลอาคารอนุรักษ์ดีเด่น จากสมาคมสถาปนิกสยาม เมื่อปีใด,พ.ศ. 2537
การชกชิงแชมป์แห่งสยาม หวัง อาหะหมัดได้รับเลือกให้ชกกับ ศุข สมบูรณ์ โดยสมัยนั้น นายกสนามคือใคร,พระยาเทพหัสดินทร์
หวัง อาหะหมัด ได้ชกมวยแพ้ให้กับใคร เพราะเสียเปรียบเรื่องอายุมากกว่าและตัวเล็กกว่า,ประดิษฐ์ ลิ้มประยูร
สตีเฟน แพทริก เดวิด เกตลีเป็นนักร้องชาวไอร์แลนด์ แต่งงานกับใคร,แอนดรูว์ คาวล์ส
สตีเฟน แพทริก เดวิด เกตลีเป็นนักร้องชาวไอร์แลนด์ นักเขียนและนักแสดง เสียชีวิตที่ประเทศอะไร,ประเทศสเปน
ในปี 2560 ปกเกล้า อนันต์ เล่นในตำแหน่งกองกลาง ให้กับสโมสรใด,สโมสรฟุตบอลแบงค็อก ยูไนเต็ด
หลวงพ่อแสนแห่งเมืองเชียงแตง เป็นพระพุทธรูปปางอะไร,ปางมารวิชัย
กษัตริย์พระองค์ใดเป็นผู้อันเชิญพระแสนจากเมืองเชียงแตง,พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว
พระราชนิเวศน์มฤคทายวันเป็นที่ประทับแปรพระราชฐานในฤดูร้อนของกษัตริย์พระองค์ใด,พระบาทสมเด็จพระมงกุฏเกล้าเจ้าอยู่หัว
เรือนพระสุจริตสุดาเป็นบ้านพักของพระสนมเอก ซึ่งมีพระนามว่าอะไร,พระสุจริตสุดา
ดร.วราวุธ สุธีธร  เป็นผู้เชี่ยวชาญด้านใด,สัตว์มีกระดูกสันหลัง
พ่อของดอน ธีระธาดา นักแสดงชาวไทย คือใคร,จิรทัต ธีระธาดา
โคลิน แอนดรูว์ เฟิร์ธได้รับรางวัลออสการ์ ในสาขาใดจากการประกาศผลรางวัลอะคาเดมี่ ครั้งที่ 83,สาขานักแสดงนำชายยอดเยี่ยม
โคลิน แอนดรูว์ เฟิร์ธ ได้แสดงภาพยนตร์เรื่อง The King's Speech รับบทบาทเป็นใคร,สมเด็จพระเจ้าจอร์จที่ 6
นามสกุลเดิมของพระครูสุจิณธรรมวิมล หรือ หลวงปู่ม่น ธมฺมจิณฺโณ คืออะไร,วิญญาณ
พระครูสุจิณธรรมวิมล หรือ หลวงปู่ม่น ธมฺมจิณฺโณเจ้าอาวาสวัดเนินตามาก ท่านมรณภาพด้วยอายุเท่าไร,88 ปี 5 เดือน 24 วัน
พระมารดาของจรุงจิตต์ อุรัสยะนันท์ มีนามว่าอะไร,ท่านผู้หญิงเจือทอง อุรัสยะนันท์
บุตรสาวของท่านผู้หญิงจรุงจิตต์ ทีขะระ คือใคร,นางปิยวรา ทีขะระ เนตรน้อย
พระแม่สันโตษี เป็นผู้ปกปักษ์รักษาสายน้ำซันโตชี เป็นธิดาของใคร,พระพิฆเนศ
ประธานในพิธีมงคลสมรสระหว่างนพ.ชื่น พุทธิแพทย์และคุณหญิงเพิ่ม คือใคร,สมเด็จฯ เจ้าฟ้าจักรพงษ์ภูวนาภ
ภรรยาคนที่สองของพระยาดำรงแพทยาคุณ มีชื่อว่าอะไร,คุณหญิงสมานใจ
ไซปรัสได้รับเอกราชจากการเป็นอาณานิคมของสหราชอาณาจักร ในปีใด,ปี 1960
บ้านเกิดของทัตพงศ์ พงศทัต อยู่ที่จังหวัดอะไร,จังหวัดพิษณุโลก
มุนินทร์ สายประสาท จบศึกษาจากคณะสถาปัตยกรรมศาสตร์ มหาวิทยาลัยอะไร,มหาวิทยาลัยขอนแก่น
พิมพ์ชนก ลือวิเศษไพบูลย์ นักแสดงชาวไทย มีชื่อเล่นว่าอะไร,ใบเฟิร์น
โรงพยาบาลที่พิมพ์ชนก ลือวิเศษไพบูลย์ หรือใบเฟิร์น เกิดมีชื่อว่าอะไร,โรงพยาบาลวชิรพยาบาล
โกต-ดาร์มอร์ เป็นจังหวัดที่ตั้งอยู่ในแคว้นใดของประเทศฝรั่งเศ,แคว้นเบรอตาญ
แซ็ง-บรีเยอเป็นเมืองหลวงของจังหวัดอะไรในประเทศฝรั่งเศส,โกต-ดู-นอร์ด
อำเภอสามร้อยยอด จังหวัดประจวบคีรีขันธ์แบ่งเขตการปกครองส่วนภูมิภาคออกเป็น 5 ตำบล กี่หมู่บ้าน,41 หมู่บ้าน
พระบิดาของเจ้าชายอาแล็กซ็องดร์แห่งเบลเยียม มีพระนามว่าอะไร,สมเด็จพระราชาธิบดีเลโอโปลด์ที่ 3 แห่งเบลเยียม
เจ้าหญิงเลอาแห่งเบลเยียมอภิเษกสมรสกับผู้ใด,เจ้าชายอาแล็กซ็องดร์แห่งเบลเยียม
สามีของเมย์ เฟื่องอารมย์ หรือ ปทิดา กำเนิดพลอย คือใคร,กรรชัย กำเนิดพลอย
ลูกสาวของกรรชัย กำเนิดพลอย มีชื่อว่าอะไร,ภูรดา กำเนิดพลอย
วัดมหรรณพารามวรวิหาร เป็นพระอารามหลวงชั้นตรี สร้างขึ้นในสมัยรัชกาลใด,รัชกาลที่ 3
นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่าอะไร,รักประกาศิต
ในปี พ.ศ. 2555 ผู้กำกับการแสดงโดยยุทธนา ลอพันธ์ไพบูลย์ได้ผลิตละครเรื่องรักประกาศิต ใครเป็นผู้รับบทนริศรา,ทักษอร ภักดิ์สุขเจริญ
พระเจ้าเอ็ดวีทรงเป็นกษัตริย์แห่งอังกฤษ ในปี ค.ศ.955-959 พระบิดนามว่าอะไร,พระเจ้าเอ็ดมุนด์
พระเจ้าเอ็ดวิกกษัตริย์แห่งอังกฤษ ใครเป็นผู้ครองราชต่อพระเจ้าเอ็ดวิก,เอ็ดการ์
ครูมวยคนแรกของสิงห์มณี แก้วสัมฤทธิ์ คือใคร,ศรแดง พรทวี
ผู้ชนะเลิศรางวัลบาฟต้า สาขาดาราสมทบชายยอดเยี่ยม ประจำปี พ.ศ. 2549 คือใคร,เจค็อบ เบนจามิน จิลเลนฮอล
เจค็อบ เบนจามิน จิลเลนฮอล หรือ เจค จิลเลนฮอล เริ่มชีวิตการแสดงตั้งแต่อายุ 11 ปี ในเรื่องอะไร,เรื่อง City Slicker
ราอุล อัลบิโอล ตอร์ตาฆาดา เล่นฟุตบอลให้กับทีมชาติอะไร,ทีมชาติสเปน
บ้านเกิดของเทียมบุญ อินทรบุตร อยู่ที่จังหวัดใด,จังหวัดลำปาง
วัดที่จัดงานศพของเทียมบุญ อินทรบุตร อดีตโปรโมเตอร์มวย คือวัดอะไร,วัดมักกะสัน
คู่ชกคนแรกของวิทยาน้อย สิงห์ยอดฟ้า คือใคร,ดาวน้อย สิงห์ทอผ้า
ภรรยาของประยุทธ มหากิจศิริ คือใคร,สุวิมล มหากิจศิริ
พานทองแท้ ชินวัตร เป็นเพื่อนกับลูกชายของประยุทธ มหากิจศิริ มีชื่อว่าอะไร,เฉลิมชัย มหากิจศิริ
ผลงานชิ้นเอกของวิลเลียม เวิร์ดสเวิร์ธกวีจินตนิยมชาวอังกฤษ มีชื่อว่าอะไร,The Prelude
วิลเลียม เวิร์ดสเวิร์ธเป็นกวีจินตนิยมชาวอังกฤษ เสียชีวิตในปี ค.ศ. ใด,ปี ค.ศ. 1850
ผู้ได้เหรียญทองรุ่นแบนตัมเวท กีฬาโอลิมปิก พ.ศ. 2551 ที่ ปักกิ่ง ประเทศจีน คือใคร,เอนค์บาติน บาดาร์-อูกัน
การีม ม็อสตาฟา แบนเซมาเป็นนักฟุตบอลชาวฝรั่งเศส เกิดที่เมืองอะไรในประเทศฝรั่งเศส,เมืองลียง
การีม ม็อสตาฟา แบนเซมาเป็นนักฟุตบอลชาวฝรั่งเศสเชื้อสายแอลจีเรีย เล่นให้กับสโมสรฟุตบอลอะไร,สโมสรฟุตบอลเรอัลมาดริด
คู่ครองของพระราชวรวงศ์เธอ พระองค์เจ้าบวรวิสุทธิ์ มีพระนามว่าอะไร,หม่อมเจ้าหญิงกมลเปรมปรีดิ์ วิสุทธิ
พระบิดาของหม่อมเจ้าหญิงกมลเปรมปรีดิ์ วิสุทธิ มีพระนามว่าอะไร,พระเจ้าราชวรวงศ์เธอ พระองค์เจ้าเนาวรัตน์ กรมหมื่นสถิตย์ธำรงสวัสดิ์
บิดาของพรทิวา ศักดิ์ศิริเวทย์กุล หรือ พรทิวา นาคาศัย คือใคร,นายสุรินทร์ ศักดิ์ศิริเวทย์กุล
เลดิออน เชนิชา เป็นนักมวยสากลประเทศอะไร,ฟิลิปปินส์
อาดานา เป็นเมืองทางตอนใต้ของประเทศอะไร,ประเทศตุรกี
ระหว่าง ค.ศ. 1832-1840 อาดานาเป็นเมืองทางตอนใต้ของประเทศตุรกีตกอยู่ภายใต้การปกครองของประเทศอะไร,อียิปต์
บุปผา สายชล เล่นลิเกอยู่ในคณะอะไร,คณะสายพิณวัฒนา
แม่ของบุปผา สายชล นักร้องลูกทุ่งหญิง คือใคร,นางบุญมี พยนต์เลิศ
พ่อของอิวานกา มารี ทรัมป์ คือใคร,ดอนัลด์ ทรัมป์
สามีของอิวานกา มารี ทรัมป์ คือใคร,จาเร็ด คัชเนอร์
แจ๊ค เดลานีย์เป็นนักมวยสากลอดีตแชมป์โลกชาวแคนาดา เสียชีวิตที่เมืองใดในประเทศสหรัฐอเมริกา,นิวยอร์ก
บ้านเกิดของวิเชษฐ์ เกษมทองศรี อยู่ที่ไหน,จังหวัดราชบุรี
ในรัฐบาลนางสาวยิ่งลักษณ์ ชินวัตร นายวิเชษฐ์ เกษมทองศรี รับตำแหน่งอะไร,รัฐมนตรีว่าการกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม
การเลือกตั้งในปีพ.ศ. 2547 พอล เอ็ดการ์ ฟีลิป มาร์ติน ชนะการเลือกตั้งได้เป็นนายกรัฐมนตรีของประเทศอะไร,แคนาดา
