Question,Response
ศาสนสถานที่ใหญ่ที่สุดในโลกคือที่ใด,นครวัด
นครวัดซึ่งเป็นศาสนสถานที่ใหญ่ที่สุดในโลก ตั้งอยู่ที่เมืองใดในประเทศกัมพูชา,เสียมราฐ
นักร้องเพลงลูกกรุง หยาด นภาลัย มีชื่อจริงว่าอะไร,สุริยพงศ์ การวิบูลย์
จอห์น คูช แอดัมส์ ใช้วิธีการใดทำนายหาตำแหน่งดาวเนปจูน,คำนวณทางคณิตศาสตร์
ดาวเนปจูน มีอีกชื่อว่าดาวอะไร,ดาวเกตุ
ผู้ดำรงตำแหน่งพระสันตะปาปาตั้งแต่ ค.ศ. 140 ถึง ค.ศ.155 คือบุคคลใด,สมเด็จพระสันตะปาปาปิอุสที่ 1
เซียร์เกย์ คาซาคอฟ นักมวยสากลสมัครเล่นชาวรัสเซีย ติดทีมชาติรัสเซียเข้าแข่งกีฬาโอลิมปิกที่ซิดนีย์ในรุ่นอะไร,ไลท์ฟลายเวท
ใครคือผู้ชนะ เซียร์เกย์ คาซาคอฟ ในรุ่นไลท์ฟลายเวทรอบแรกของกีฬาโอลิมปิก พ.ศ. 2543 ที่ซิดนีย์,ไบรอัน วิโลเรีย
เอ็มวีอาร์ดีวี (MVRDV) เป็นสำนักงานที่ตั้งอยู่ในนครรอตเทอร์ดัม  ประเทศเนเธอร์แลนด์ ทำงานทางด้านใด,ออกแบบสถาปัตยกรรมและผังเมือง
โรงเรียนนวมินทราชินูทิศ สวนกุหลาบวิทยาลัย ปทุมธานี เป็นโรงเรียนในเครือของสถาบันใด,สวนกุหลาบวิทยาลัย
บุคคลใดบริจาคที่ดินให้สร้างโรงเรียนนวมินทราชินูทิศ สวนกุหลาบวิทยาลัย ปทุมธานี,คุณสมหมาย แก้วสวัสดิ์
เกาะกระดาดในเขตจังหวัดตราดอยู่ใกล้กับเกาะอะไร,เกาะหมาก
เกาะกระดาดตั้งอยู่ในอ่าวไทยขึ้นอยู่กับจังหวัดอะไร,จังหวัดตราด
"ถ้าคอมพิวเตอร์ที่ติดหนอนคอมพิวเตอร์ที่มีชื่อว่า ""แฮ็กต์บายก็อดซิลลา"" จะไม่สามารถดับเบิ้ลคลิกเพื่อเปิดดูข้อมูลได้ ต้องใช้คำสั่งอะไรแทน",Open
"หนอนคอมพิวเตอร์ ""แฮ็กต์บายก็อดซิลลา""มีวิธีแพร่กระจายด้วยวิธีการใด",ผ่านไดรฟ์ที่เชื่อมต่อกับพอร์ตยูเอสบี
Ne ในตารางธาตุหมายถึงธาตุอะไร,นีออน
"ใครคือผู้ประพันธ์บทละครโทรทัศน์เรื่อง ""ลิขิตเสน่หา""",พลอยชื่น-รื่นสราญ
"ละครโทรทัศน์เรื่อง ""ลิขิตเสน่หา"" เป็นบทละครที่สะท้อนเรื่องใด",สะท้อนปัญหาของสังคม
"""คริสทีน นักข่าวสาว ฉาวช็อคโลก"" เป็นภาพยนตร์ชีวประวัติโดยอิงจากชีวิตบางส่วนของบุคคลใด",คริสทีน ชับบัค
"ภาพยนตร์ชีวประวัติเรื่อง ""คริสทีน นักข่าวสาว ฉาวช็อคโลก "" ออกฉายรอบปฐมทัศน์ที่งานอะไร",งานเทศกาลภาพยนตร์ซันแดนซ์
ผลงานที่สร้างชื่อให้กับดารัณ บุญยศักดิ์คืออะไร,โฆษณาเครื่องสำอางยี่ห้อมีสทีน
ชื่อเดิมของนักแสดงสาว ดารัณ บุญยศักดิ์ คือชื่ออะไร,สินิทธา บุญยศักดิ์
"ปัจจุบัน ""สาธารณรัฐประชาชนจีน"" มีการปกครองแบบใด",สังคมนิยม
ปี ค.ศ. อะไร ที่ประเทศจีนมีการเปลี่ยนแปลงการปกครองจากระบอบราชาธิปไตยเป็นระบอบสาธารณรัฐ,1912
"""ขบวนการนินจา คาคุเรนเจอร์"" มีลิขสิทธิ์จัดจำหน่ายในรูปแบบวิดีโอโดยบริษัทอะไร",ไรท์พิคเจอร์ จำกัด
"ผู้ได้รับการยกย่องว่าเป็น ""บรมครูแห่งวิชากระบี่กระบอง"" คือบุคคลท่านใด",นาค เทพหัสดิน ณ อยุธยา
อาจารย์นาค เทพหัสดิน ณ อยุธยา ได้ทดลองบรรจุสอนวิชากระบี่กระบองขึ้นเป็นครั้งแรกในโรงเรียนพลศึกษากลาง เมื่อปี พ.ศ. อะไร,พ.ศ. 2478
บริษัทเกียวโตแอนิเมชัน จำกัด ตั้งอยู่ที่จังหวัดอะไรในประเทศญี่ปุ่น,เคียวโตะ
เจมส์ คอตแทก ทำหน้าที่เป็นอะไรในวง scorpions,มือกลอง
เจมส์ คอตแทก เข้าร่วมวง scorpions ในปีใด,ปี 1996
นายอาณัติ อาภาภิรม เคยดำรงตำแหน่งรัฐมนตรีช่วยว่าการกระทรวงเกษตรและสหกรณ์ในครั้งแรก ในสมัยรัฐบาลของใคร,พลเอกเกรียงศักดิ์ ชมะนันทน์
ในปี พ.ศ. 2480 ใครเป็นประธานในการเปิดโรงเรียนเมืองภูเก็ต,พระยาอุปรธานีศรีโขมสาครเขต
ผู้บริจาคที่ดินให้สร้างโรงเรียนเมืองภูเก็ตคือใคร,นายฮู่ แซ่หลิม
"""เลปลูสกร็องซูกเซเดอเซลีนดียง"" เป็นอัลบั้มเพลงฮิตของเซลีน ดิออน ซึ่งเป็นเพลงภาษาอะไร",ฝรั่งเศส
"อัลบั้มเพลงฮิตชุด ""เลปลูสกร็องซูกเซเดอเซลีนดียง""ของเซลีน ดิออน เป็นส่วนหนึ่งของโครงการอะไร",หารายได้สมทบมูลนิธิ Cystic fibrosis
วงดุริยางค์ที่ร่วมในพิธีสวนสนามแห่งชัยชนะที่กรุงมอสโก ค.ศ. 1945 คือวงดุริยางค์จากที่ไหน,มณฑลทหารมอสโก
พิธีสวนสนามแห่งชัยชนะที่กรุงมอสโก ค.ศ. 1945 จัดขึ้นเมื่อใด,วันที่ 24 มิถุนายน ค.ศ. 1945
วันแรกของเดือนตุลาคม พ.ศ. 2555 เป็นวันอะไร,วันจันทร์
วันสุดท้ายของเดือนตุลาคม พ.ศ.2555 ตรงกับวันอะไร,วันพุธ
มิสเตอร์อินเตอร์เนชันแนล 2014 เรียกอีกชื่อว่าอะไร,นายแบบนานาชาติ 2014
มิสเตอร์อินเตอร์เนชันแนล2014 ครั้งที่ 9 จัดขึ้นประเทศเกาหลีใต้ มีผู้เข้าประกวดกี่คนจากทั่วโลก,29 คน
เจ้าอาวาสวัดคลองวาฬ ตำบลคลองวาฬ อำเภอเมืองจังหวัดประจวบคีรีขันธ์คือท่านใด,พระเทพสิทธิวิมล
พระเทพสิทธิวิมล เจ้าอาวาสวัดคลองวาฬ ตำบลคลองวาฬ จังหวัดประจวบคีรีขันธ์ ท่านมีอีกชื่อว่าอะไร,ละเอียด สุทนฺโต
บาร์ดัคเป็นตัวการ์ตูนในเรื่องดราก้อนบอลสามารถกลายร่างเป็นลิงยักษ์ได้เมื่อเห็นอะไร,พระจันทร์เต็มดวง
บาร์ดัคในเรื่องดราก้อนบอลยังสามารถกลายร่างเป็นลิงยักษ์ได้เมื่อเห็นพระจันทร์เต็มดวงเพราะตนยังมีอวัยวะใดอยู่,หาง
เราใช้อะไรเป็นตัวช่วยในการยึดจับหัวปืนพ่นในกระบวนการพ่นเคลือบด้วยความร้อน,แขนกล
ศูนย์กีฬาอ่าวเซินเจิ้นตั้งอยู่ที่เมืองอะไรในประเทศจีน,เซินเจิ้น
สนามกีฬาหลักที่ใช้ในการจัดงานกีฬามหาวิทยาลัยโลกฤดูร้อน 2011 คือที่ใด,ศูนย์กีฬาอ่าวเซินเจิ้น
พระคู่บ้านคู่เมืองของอำเภอพุทไธสงจังหวัดบุรีรัมย์มีชื่อว่าอะไร,พระเจ้าใหญ่ วัดหงส์
ผลิตภัณฑ์ที่มีชื่อเสียงของอำเภอพุทไธสง จังหวัดบุรีรัมย์คืออะไร,ทอผ้าไหมมัดหมี่
เมื่อปี พ.ศ. 2473 ถนนเชียงใหม่ ที่เขตคลองสาน กรุงเทพมหานครไปสิ้นสุดที่ใด,ริมแม่น้ำเจ้าพระยาบริเวณท่าเรือวัดทองธรรมชาติ
ในช่วงปี พ.ศ. 2472-2473 ถนนเชียงใหม่ แขวงคลองสาน เป็น 1 ในถนน 11 สายที่ปรับปรุงเพื่อรองรับการสร้างอะไร,สะพานปฐมบรมราชานุสรณ์
สโมสรฟุตบอลชัลเคอ 04 อยู่ที่รัฐอะไรในประเทศเยอรมนี,รัฐนอร์ทไรน์-เว็สท์ฟาเลิน
สโมสรฟุตบอลชัลเคอ 04 เป็นคู่ปรับกับสโมสรฟุตบอลอะไร,สโมสรฟุตบอลดอร์ทมุนท์
ท่าอากาศยานนานาชาติคันไซอยู่ที่จังหวัดอะไรในประเทศญี่ปุ่น,โอซะกะ
"""เสิ่น เตี้ยนเสีย"" นักแสดงชาวจีน มีชื่อเรียกในวงการบันเทิงฮ่องกงว่าอะไร",เจ๊อ้วน
"""เสิ่น เตี้ยนเสีย"" เริ่มเข้าสู่วงการบันเทิงครั้งแรกในปี 1960 ในฐานะนักแสดงเด็กของภาพยนตร์เรื่องใด",อีซู่เถาฮวาเชียนตั่วหง
ประเพณีกองข้าวนาเกลือ หรือ ประเพณีกองข้าวเมืองพัทยา เป็นประเพณีของจังหวัดใดในประเทศไทย,ชลบุรี
ประเพณีกองข้าวนาเกลือ หรือ ประเพณีกองข้าวเมืองพัทยา มักนิยมจัดขึ้นในวันที่เท่าไรของทุกปี,20 เมษายน
สถานีรถไฟบ้านทับช้างตั้งอยู่ในเขตใดของจังหวัดกรุงเทพมหานคร,ประเวศ
สถานีรถไฟบ้านทับช้างตั้งอยู่ห่างจากสถานีรถไฟฟ้าลาดกระบังเป็นระยะทางกี่กิโลเมตร,6
นายแพทย์มนูญ ลีเชวงวงศ์  มีชื่อเสียงมาจากการเป็นหัวหน้าคณะแพทย์ที่รักษาอาการของดาราคนใด,บิ๊ก ดีทูบี
"นายแพทย์มนูญ ลีเชวงวงศ์ เริ่มเป็น ""ประธานทุนง่วงอย่าขับ"" ในพระอุปถัมภ์สมเด็จพระเจ้าพี่นางเธอ เจ้าฟ้ากัลยาณิวัฒนา กรมหลวงนราธิวาสราชนครินทร์ มูลนิธิรามาธิบดี ตั้งแต่ พ.ศ. อะไร",2547
สมเด็จพระราชินีนาซลีเป็นพระราชินีและพระชายาพระองค์ที่สองในพระมหากษัตริย์พระองค์ใดแห่งอียิปต์,พระเจ้าฟูอัดที่ 1
สมเด็จพระราชินีนาซลี พระชายาพระองค์ที่สองในพระเจ้าฟูอัดที่ 1 แห่งอียิปต์ มีพระนามแรกประสูติว่าอะไร,นาซลี ศ็อบรี
ฤษีวิศวามิตรมีความเชี่ยวชาญในวิชาอะไร,ธนู
สำนักวิศวามิตรมีที่ตั้งอยู่ ณ บริเวณต้นลำน้ำโรหิณี ซึ่งเป็นบริเวณทางทิศใดของเทือกเขาหิมาลัย,ใต้
อมรา อัศวนนท์ หรือ อมรา บุรานนท์ เคยดำรงตำแหน่งรองนางสาวไทยประจำปี พ.ศ. อะไร,2496
อมรา อัศวนนท์ หรือ อมรา บุรานนท์ ได้เป็นผู้แทนประเทศไทยเดินทางไปประกวดนางงามจักรวาลปี ค.ศ. อะไร,1954
ในปี พ.ศ. 2533 นายสิทธิชัย โควสุรัตน์ เริ่มเข้าสู่งานการเมืองในฐานะอะไร,สมาชิกสภาจังหวัดอุบลราชธานี
นายสิทธิชัย โควสุรัตน์ เคยดำรงตำแหน่งรัฐมนตรีช่วยว่าการกระทรวงใดในสมัยรัฐบาลของนายสมัคร สุนทรเวช,มหาดไทย
เมืองหลวงของประเทศเอกวาดอร์มีชื่อว่าอะไร,กีโต
ริโอบัมบา หรือ ซานเปโดรเดริโอบัมบา เป็นเมืองหลักของจังหวัดอะไรในประเทศเอกวาดอร์,ชิมโบราโซ
ยูรี ตีเลอมันส์ เป็นนักฟุตบอลสัญชาติอะไร,เบลเยียม
ยูรี ตีเลอมันส์ เป็นผู้ทำลายสถิติผู้เล่นที่มีอายุน้อยสุดที่ได้ลงเล่นในการแข่งขันยูฟ่าแชมเปียนส์ลีกด้วยอายุเท่าไร,16 ปี 148 วัน
กีฬามวยไทยสมัครเล่นในการแข่งขันกีฬาแห่งชาติครั้งที่ 41 มีการชิงชัยทั้งสิ้นกี่เหรียญทอง,16
การแข่งขันกีฬาแห่งชาติ ครั้งที่ 41 มีชื่อเรียกว่าอะไร,เชียงใหม่เกมส์
ราชบัลลังก์ดอกเบญจมาศเป็นราชบัลลังก์ที่ใช้ประกอบพระราชพิธีอะไรของจักรพรรดิญี่ปุ่น,ราชาภิเษก
ราชบัลลังก์ดอกเบญจมาศประดิษฐานอยู่ ณ ท้องพระโรงชิชินเด็น ในพระราชวังหลวงแห่งใดของประเทศญี่ปุ่น,เคียวโตะ
สถาบันพัฒนาสุขภาพอาเซียนเป็นส่วนงานระดับคณะของมหาวิทยาลัยใดในประเทศไทย,มหิดล
สถาบันพัฒนาการสาธารณสุขอาเซียนมีชื่อเดิมว่าอะไร,ศูนย์ฝึกอบรมและพัฒนาการสาธารณสุขมูลฐานอาเซียน
เสลภูมิเป็นอำเภอหนึ่งของจังหวัดใดในประเทศไทย,ร้อยเอ็ด
อำเภอเสลภูมิ จังหวัดร้อยเอ็ด มีอาณาเขตติดต่อกับจังหวัดอะไร,ยโสธร
ยานอวกาศเมสเซนเจอร์ขององค์การนาซาถูกส่งขึ้นสู่อวกาศในปี พ.ศ. อะไร,2547
ยานอวกาศเมสเซนเจอร์ขององค์การนาซาเสร็จสิ้นภารกิจการสำรวจดาวพุธในปี พ.ศ. อะไร,2558
พล.ต. จำลอง ศรีเมือง เป็นหัวหน้าพรรคคนแรกของพรรคอะไร,พลังธรรม
พรรคพลังธรรมได้ดำเนินการยุบพรรคในปี พ.ศ. อะไร,2550
พระเจ้าราชวรวงศ์เธอ พระองค์เจ้าหัสดินทร์ กรมหมื่นบริรักษ์นรินทรฤทธิ์ มีพระนามเดิมว่าอะไร,พระองค์เจ้าชายหัสดินทร์
พระเจ้าราชวรวงศ์เธอ พระองค์เจ้าหัสดินทร์ กรมหมื่นบริรักษ์นรินทรฤทธิ์ เป็นพระราชโอรสในพระบาทสมเด็จพระปิ่นเกล้าเจ้าอยู่หัวกับผู้ใด,เจ้าจอมมารดาหนู
วัดสามชุกตั้งอยู่ในอำเภอใดของจังหวัดสุพรรณบุรี,สามชุก
แต่เดิมชาวบ้านในอำเภอสามชุก จังหวัดสุพรรณบุรี เรียกวัดสามชุกว่าอะไร,วัดอัมพวัน
ผลงานของพระพรหมโมลี ได้แก่ ภูมิวิลาสินี วิมุตติรัตนมาลี และกรรมทีปนี ได้รับรางวัลชนะเลิศวรรณกรรมสาขาศาสนาจากธนาคารอะไร,กรุงเทพ
พระพรหมโมลี (วิลาศ ญาณวโร) ได้บรรพชาเป็นสามเณรที่วัดใด,แท่นดงรังวรวิหาร
สเตซี่ ลูอิส เป็นนักกอล์ฟหญิงสัญชาติอะไร,อเมริกัน
"สเตซี่ ลูอิส เคยถูกจัดให้เป็น ""นักกอล์ฟหญิงหมายเลข 1"" ของโลกจากการจัดอันดับนักกอล์ฟหญิงทั่วโลกในปี ค.ศ. อะไร",2013
คลองสิบเอ็ดที่เริ่มต้นจากจังหวัดปทุมธานีถึงจังหวัดกรุงเทพมหานครถูกขุดในสมัยรัชกาลที่เท่าไร,5
คลองสิบเอ็ดเริ่มต้นจากจังหวัดปทุมธานีและไปสิ้นสุดที่คลองใดในจังหวัดกรุงเทพมหานคร,สนามกลางลำ
สโมสรฟุตบอลใดของประเทศอังกฤษมีฉายาว่า เครซี่ แก๊ง,วิมเบิลดัน
ไข่มุกเลี้ยงสมัยใหม่เป็นผลมาจากการค้นพบโดยนักวิจัยชาวญี่ปุ่น 2 ท่าน มีชื่อว่าอะไร,มิเซะและนิชิกาวา
ใครคือนักกีฬายกน้ำหนักหญิงทีมชาติไทยคนแรกที่ได้รับเหรียญทองแดง ในโอลิมปิก 2000 ที่นครซิดนีย์ ออสเตรเลีย,เกษราภรณ์ สุตา
องค์การอนามัยโลกได้ประกาศว่าการระบาดของไข้หวัดใหญ่สายพันธุ์ใหม่ 2009 สิ้นสุดลงเมื่อวันที่เท่าใด,10 สิงหาคม พ.ศ. 2553
เชื้อไวรัสไข้หวัดใหญ่สายพันธุ์ใดที่ระบาดไปทั่วโลกในปี 2009 โดยพบครั้งแรกที่รัฐเวรากรูซ เม็กซิโก,ชนิดเอ (เอช 1 เอ็น 1)
สมเด็จพระราชินีนาถอลิซาเบธที่ 2 ครองราชย์เมื่อวันที่ 6 กุมภาพันธ์ พ.ศ. 2495 แต่ทรงประกอบพระราชพิธีราชาภิเษกเมื่อไร,วันที่ 2 มิถุนายน พ.ศ. 2496
มลิกา กันทอง เป็นนักกีฬาวอลเลย์บอลหญิงทีมชาติไทยที่เล่นในตำแหน่งใด,บอลโค้ง
บ้านคำปุน เป็นแหล่งผลิตงานหัตถศิลป์ผ้าทอมือ และแหล่งอนุรักษ์ศิลปะพื้นเมืองที่มีชื่อเสียงของจังหวัดใด,อุบลราชธานี
ผ้าทอมือที่มีชื่อเสียงของบ้านคำปุนคือผ้าทอประเภทใด,ผ้าไหมมัดหมี่ทอผสมเทคนิคจก
เยอรมนีกลับมารวมชาติอีกครั้งในปี ค.ศ. ใด,1990
แฝดติดกันที่มีชื่อเสียงที่สุดน่าจะเป็นแฝดสยามอิน-จัน (พ.ศ. 2354 - 2417) ซึ่งเป็นที่รู้จักกันในชื่อว่าอะไร,แฝดสยาม
ฮิซะเอะ วะตะนะเบะ เป็นฝ่ายชนะคะแนนนักมวยไทยหญิงคนใด ในการแข่งขันมวยไทยหญิงที่ฟิวเจอร์พาร์ค รังสิต เมื่อ 26 ธ.ค. 2546,น้ำหวานน้อย ศ.อาร์สยาม
ในปี พ.ศ. 2543-พ.ศ. 2547 บุคคลใดเป็นประธานาธิบดีของโซมาเลีย,อับดิคาซิม ซาลาด ฮัสซัน
อับดิคาซิม ซาลาด ฮัสซัน เคยเป็นรัฐมนตรีว่าการกระทรวงมหาดไทยและรัฐมนตรีว่าการกระทรวงการคลังในรัฐบาลของใคร,โมฮัมเหม็ด ไซอัด บาร์รี
เมืองหลวงของประเทศอัฟกานิสถานคือเมืองอะไร,คาบูล
เมื่อปี พ.ศ. 2531 นายไชยยศ จิรเมธากร มีอาชีพนักการเมืองสังกัดพรรคการเมืองอะไร,พรรคประชาธิปัตย์
นายไชยยศ จิรเมธากร เคยดำรงตำแหน่งรัฐมนตรีช่วยว่าการกระทรวงศึกษาธิการในรัฐบาลของใคร,นายอภิสิทธิ์ เวชชาชีวะ
"ละครโทรทัศน์เรื่อง ""สงครามเก้าทัพ"" ซึ่งออกฉายปี พ.ศ. 2531 กำกับการแสดงโดยใคร",วรยุทธ พิชัยศรทัต
"ละครโทรทัศน์ ""สงครามเก้าทัพ"" ซึ่งออกอากาศในปี พ.ศ. 2531 ออกอากาศทางโทรทัศน์ช่องไหน",สถานีวิทยุโทรทัศน์ไทยทีวีสีช่อง 3
ในปี ค.ศ. 1935 การลงประชามติที่จัดตั้งขึ้นในประเทศสวิตเซอร์แลนด์ ในวันที่ 2 มิถุนายน ว่าด้วยเรื่องอะไร,การต่อสู้กับวิกฤตเศรษฐกิจ
ในวันที่ 8 กันยายน ค.ศ. 1935 มีการลงประชามติในประเทศสวิตเซอร์แลนด์ ว่าด้วยเรื่องอะไร,การแก้ไขรัฐธรรมนูญ
ในปี ค.ศ. 1932 ประเทศอินเดียได้เข้าร่วมการแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่ 10 ซึ่งจัดขึ้นที่ประเทศสหรัฐอเมริกา ที่เมืองอะไร,ลอสแอนเจลิส
ประเทศอินเดียได้เข้าร่วมการแข่งขันกีฬาโอลิมปิกฤดูร้อน ในปี ค.ศ. 1932 ที่จัดขึ้น ณ ลอสแอนเจลิส สหรัฐอเมริกา ซึ่งเป็นการจัดโอลิมปิกฤดูร้อนครั้งที่เท่าใด,ครั้งที่ 10
หม่อมไกรสร ได้รับพระอิสริยยศมีพระนามว่าอะไร,พระเจ้าบรมวงศ์เธอ กรมหลวงรักษ์รณเรศ
พระบิดาของพระเจ้าบรมวงศ์เธอกรมหลวงรักษ์รณเรศคือใคร,พระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช
ฉายาของ นิวัติ กองเพียร ครั้งที่ยังเป็นคอลัมนิสต์ประจำนิตยสารมติชนสุดสัปดาห์ มีชื่อว่าอะไร,เกจินู้ด
เว็บไซต์อะไรที่นิวัติ กองเพียรได้หันมาทำงานแนวอี-แม็กกาซีน,http://www.niwatkongpien.com
ผลงานภาพยนตร์ที่มีชื่อเสียงในปี ค.ศ. 2014 ของเวส บอล ผู้กำกับภาพยนตร์ชาวอเมริกัน คือเรื่องอะไร,The Maze Runner
เวส บอล ผู้กำกับภาพยนตร์ชาวอเมริกัน เกิดเมื่อใด,28 ตุลาคม ค.ศ. 1980
เมืองบีร์กีร์การาเป็นเมืองที่ใหญ่สุดของประเทศมอลตามีประชากรกี่คน,"22,232 คน"
เมืองที่ใหญ่สุดของประเทศมอลตาชื่อเมืองอะไร,บีร์กีร์การา
ถนนเจริญเมืองในกรุงเทพมหานครอยู่ที่เขตอะไร,เขตปทุมวัน
พรรคประชาชนเป็นพรรคการเมืองในประเทศเกาหลีใต้มีอุดมการณ์ทางการเมืองแบบใด,เสรีนิยมปฏิรูปนิยม
"พรรคการเมืองในประเทศเกาหลีใต้ที่มีชื่อว่า ""พรรคประชาชน"" ก่อตั้งครั้งแรกเมื่อไร",วันที่ 10 มกราคม ค.ศ. 2016
มังกรน้ำออสเตรเลียพบกระจายพันธ์ุในหลายรัฐของภาคใดในประเทศออสเตรเลีย,ภาคตะวันออก
มังกรน้ำเป็นสกุลของสัตว์เลื้อยคลานจำพวกใด,กิ้งก่า
โรงเรียนประจำจังหวัดแห่งแรกของจังหวัดบุรีรัมย์คือโรงเรียนอะไร,โรงเรียนบุรีรัมย์พิทยาคม
โรงเรียนภัทรบพิตร อำเภอสตึก จังหวัดบุรีรัมย์ ตั้งอยู่บนทางหลวงหมายเลขอะไร,218
เน็ด เคลลี่ เป็นภาพยนตร์ที่สร้างจากชีวิตจริงของจอมโจรชื่อดังของประเทศออสเตรเลีย ที่เขาลุกขึ้นมาต่อต้านอำนาจของใคร,จักรวรรดิอังกฤษ
ภาพยนตร์จากออสเตรเลียที่สร้างจากชีวิตจริงของจอมโจรที่ลุกขึ้นมาต่อต้านอำนาจของจักรวรรดิอังกฤษ ในช่วงคริสตวรรษที่ 19 มีชื่อเรื่องว่าอะไร,เน็ด เคลลี่
เขื่อนดินที่ยาวที่สุดในประเทศไทยคือเขื่อนอะไร,เขื่อนป่าสักชลสิทธิ์
เขื่อนดินที่ยาวเป็นอันดับสองในประเทศไทยคือเขื่อนอะไร,เขื่อนกระเสียว
อำเภอพะโต๊ะเป็นอำเภอในจังหวัดอะไร,ชุมพร
ลำน้ำอะไรที่เป็นสถานที่ท่องเที่ยวสำหรับการล่องแพในอำเภอพะโต๊ะ จังหวัดชุมพร,ลำน้ำพะโต๊ะ
"ผู้รับบทเป็น ""พีต้า เมลลาร์ก""ในละครไตรภาคเกมล่าชีวิตคือใคร",จอช ฮัทเชอร์สัน
"พีต้า เมลลาร์ก ตัวละครหลักในเรื่อง ""ไตรภาคเกมล่าชีวิต"" เป็นตัวแทนในฐานะบรรณาการหลักจากเขตที่เท่าใดของประเทศพาเน็ม",เขต 12
สมเด็จพระมหาวีรวงศ์  อดีตเจ้าอาวาสวัดโสมนัสราชวรวิหาร มีนามเดิมว่าอะไร,ยัง ฉายา เขมาภิรโต
บิดาของสมเด็จพระมหาวีรวงศ์เป็นชาวอะไร,จีน
อุทยานแห่งชาติศรีน่าน อยู่ที่ตำบลอะไรในจังหวัดน่าน,ตำบลศรีษะเกษ
ตำบลศรีษะเกษตั้งอยู่บริเวณทางทิศใดของอำเภอนาน้อย,ทิศตะวันออก
สถานีรถไฟกระเบียด อยู่ในจังหวัดอะไรของประเทศไทย,นครศรีธรรมราช
สถานีรถไฟกระเบียดอยู่ห่างจากสถานีรถไฟกรุงเทพเป็นระยะทางเท่าใด,709.87 กิโลเมตร
เดชินท์ ปิ่นชาตรี เริ่มเข้าวงการบันเทิงด้วยการทำอะไร,ประกวด M Thailand
"เตชินท์ ปิ่นชาตรีเคยเล่นมิวสิควีดีโอเพลง ""เจ็บแล้วทนคือควาย"" ของนักร้องชื่ออะไร",เอเซียร์ อาร์สยาม
คำแสง สีนนทอง เป็นนักเขียนชาวลาว ใช้นามปากกาอะไร,ส. สีนนทอง
บิดามารดาของคำแสง สีนนทอง นักเขียนชาวลาวมีอาชีพอะไร,ทำนา
ในปี พ.ศ.ใด ที่กองทัพบกได้อนุมัติจัดตั้งกองพันทหารม้าที่29 ขึ้นอย่างจริงจัง,พ.ศ. 2531
สนธิสัญญาทางพระราชไมตรีและการพาณิชย์ฉบับแรกที่กรุงรัตนโกสินทร์ทำกับประเทศตะวันตกในสมัยกรุงรัตนโกสินทร์มีชื่อว่าอะไร,สนธิสัญญาเบอร์นี
สนธิสัญญาเบอร์นีระหว่างรัฐบาลไทยและรัฐบาลอังกฤษถูกจัดทำขึ้นในสมัยของกษัตริย์พระองค์ใดแห่งกรุงรัตนโกสินทร์,พระบาทสมเด็จพระนั่งเกล้าเจ้าอยู่หัว
ใครคือเจ้าเมืองสกลนครองค์สุดท้ายและเป็นผู้ว่าราชการเมืองสกลนครคนแรก,พระยาประจันตประเทศธานี
พระยาจันตประเทศธานี ผู้ว่าราชการเมืองสกลนครคนแรกได้รับพระราชทานนามสกุลว่าอะไร,พรหมสาขา
ธงชาติโคลอมเบียได้รับการยอมรับอย่างเป็นทางการเมื่อใด,วันที่ 26 พฤศจิกายน ค.ศ. 1863
ผู้ที่ให้กำเนิดธงสีเหลือง-น้ำเงิน-ของประเทศสหภาพมหาโคลอมเบียคือใคร,ฟรันซิสโก เด มิรันดา
ภาวะแทรกซ้อนของการตั้งครรภ์ที่เกิดขึ้นเฉียบพลัน มีอาการชักแบบเกร็งกระตุก เรียกว่าโรคอะไร,โรคพิษแห่งครรภ์ระยะชัก
เมืองหลวงของมณฑลลิมเบิร์ก ประเทศเบลเยียม มีชื่อว่าอะไร,ฮัสเซิลต์
ปลาแมนดารินจุดถูกจัดประเภทอยู่ในวงศ์ของปลาอะไร,มังกรน้อย
ปลาแมนดารินจุดมีความยาวเต็มที่ประมาณกี่เซนติเมตร,10
เอาโตโดรโม เอนโซ เอ ดิโน เฟอร์รารี (Autodromo Enzo e Dino Ferrari) หรือ อิโมลาเซอร์กิต เป็นสนามแข่งรถในประเทศอะไร,อิตาลี
ไมเคิล คาร์บาฮาล ได้รับเหรียญเงินจากการแข่งขันกีฬาโอลิมปิก ปี พ.ศ. 2531 ที่ประเทศอะไร,เกาหลีใต้
ไมเคิล คาร์บาฮาล ได้รับฉายาจากการแข่งขันมวยกับฮุมเบอร์โต กอนซาเลซในครั้งแรกว่าอะไร,เจ้าหนูเงินล้าน
อนุสรณ์เอบซาโลมในกรุงเยรูซาเลม ประเทศอิสราเอล มีหลังคาเป็นลักษณะใด,กรวยแหลม
อนุสรณ์เอบซาโลมในกรุงเยรูซาเลม ประเทศอิสราเอล ถูกสร้างด้วยอะไร,หิน
สตรีในอาณาจักรเคานต์แห่งตูลูซสามารถเป็นผู้แทนตนเองในศาลได้เมื่อมีอายุเกินกี่ปี,14
สตรีในอาณาจักรเคานต์แห่งตูลูซสามารถเลือกคู่แต่งงานได้เองเมื่อมีอายุกี่ปี,20
